"","date","time","U","W_tilt","W_stow","B","E_stow","E_tilt"
"1","04/20/2023"," 05:00:00 PM",0,0,0,0,0,0
"2","04/20/2023"," 05:15:00 PM",0,0,0,0,0,0
"3","04/20/2023"," 05:30:00 PM",0,0,0,0,0,0
"4","04/20/2023"," 05:45:00 PM",0,0,0,0,0,0
"5","04/20/2023"," 06:00:00 PM",0,0,0,0,0,0
"6","04/20/2023"," 06:15:00 PM",0,0,0,0,0,0
"7","04/20/2023"," 06:30:00 PM",0,0,0,0,0,0
"8","04/20/2023"," 06:45:00 PM",0,0,0,0,0,0
"9","04/20/2023"," 07:00:00 PM",0,0,0,0,0,0
"10","04/20/2023"," 07:15:00 PM",0,0,0,0,0,0
"11","04/20/2023"," 07:30:00 PM",0,0,0,0,0,0
"12","04/20/2023"," 07:45:00 PM",0,0,0,0,0,0
"13","04/20/2023"," 08:00:00 PM",0,0,0,0,0,0
"14","04/20/2023"," 08:15:00 PM",0,0,0,0,0,0
"15","04/20/2023"," 08:30:00 PM",0,0,0,0,0,0
"16","04/20/2023"," 08:45:00 PM",0,0,0,0,0,0
"17","04/20/2023"," 09:00:00 PM",0,0,0,0,0,0
"18","04/20/2023"," 09:15:00 PM",0,0,0,0,0,0
"19","04/20/2023"," 09:30:00 PM",0,0,0,0,0,0
"20","04/20/2023"," 09:45:00 PM",0,0,0,0,0,0
"21","04/20/2023"," 10:00:00 PM",0,0,0,0,0,0
"22","04/20/2023"," 10:15:00 PM",0,0,0,0,0,0
"23","04/20/2023"," 10:30:00 PM",0,0,0,0,0,0
"24","04/20/2023"," 10:45:00 PM",0,0,0,0,0,0
"25","04/20/2023"," 11:00:00 PM",0,0,0,0,0,0
"26","04/20/2023"," 11:15:00 PM",0,0,0,0,0,0
"27","04/20/2023"," 11:30:00 PM",0,0,0,0,0,0
"28","04/20/2023"," 11:45:00 PM",0,0,0,0,0,0
"29","04/21/2023"," 12:00:00 AM",0,0,0,0,0,0
"30","04/21/2023"," 12:15:00 AM",0,0,0,0,0,0
"31","04/21/2023"," 12:30:00 AM",0,0,0,0,0,0
"32","04/21/2023"," 12:45:00 AM",0,0,0,0,0,0
"33","04/21/2023"," 01:00:00 AM",0,0,0,0,0,0
"34","04/21/2023"," 01:15:00 AM",0,0,0,0,0,0
"35","04/21/2023"," 01:30:00 AM",0,0,0,0,0,0
"36","04/21/2023"," 01:45:00 AM",0,0,0,0,0,0
"37","04/21/2023"," 02:00:00 AM",0,0,0,0,0,0
"38","04/21/2023"," 02:15:00 AM",0,0,0,0,0,0
"39","04/21/2023"," 02:30:00 AM",0,0,0,0,0,0
"40","04/21/2023"," 02:45:00 AM",0,0,0,0,0,0
"41","04/21/2023"," 03:00:00 AM",0,0,0,0,0,0
"42","04/21/2023"," 03:15:00 AM",0,0,0,0,0,0
"43","04/21/2023"," 03:30:00 AM",0,0,0,0,0,0
"44","04/21/2023"," 03:45:00 AM",0,0,0,0,0,0
"45","04/21/2023"," 04:00:00 AM",0,0,0,0,0,0
"46","04/21/2023"," 04:15:00 AM",0,0,0,0,0,0
"47","04/21/2023"," 04:30:00 AM",0,0,0,0,0,0
"48","04/21/2023"," 04:45:00 AM",0,0,0,0,0,0
"49","04/21/2023"," 05:00:00 AM",0,0,0,0,0,0
"50","04/21/2023"," 05:15:00 AM",0,0,0,0,0,0
"51","04/21/2023"," 05:30:00 AM",0,0,0,0,0,0
"52","04/21/2023"," 05:45:00 AM",0,0,0,0,0,0
"53","04/21/2023"," 06:00:00 AM",0,0,0,0,0,0
"54","04/21/2023"," 06:15:00 AM",0,0,0,0,0,0
"55","04/21/2023"," 06:30:00 AM",0,0,0,0,0,0
"56","04/21/2023"," 06:45:00 AM",0,0,0,0,0,0
"57","04/21/2023"," 07:00:00 AM",0,0,0,0,0,0
"58","04/21/2023"," 07:15:00 AM",0,0,0,0,0,0
"59","04/21/2023"," 07:30:00 AM",0,0,0,0,0,0
"60","04/21/2023"," 07:45:00 AM",0,0,0,0,0,0
"61","04/21/2023"," 08:00:00 AM",0,0,0,0,0,0
"62","04/21/2023"," 08:15:00 AM",0,0,0,0,0,0
"63","04/21/2023"," 08:30:00 AM",0,0,0,0,0,0
"64","04/21/2023"," 08:45:00 AM",0,0,0,0,0,0
"65","04/21/2023"," 09:00:00 AM",0,0,0,0,0,0
"66","04/21/2023"," 09:15:00 AM",0,0,0,0,0,0
"67","04/21/2023"," 09:30:00 AM",0,0,0,0,0,0
"68","04/21/2023"," 09:45:00 AM",0,0,0,0,0,0
"69","04/21/2023"," 10:00:00 AM",0,0,0,0,0,0
"70","04/21/2023"," 10:15:00 AM",0,0,0,0,0,0
"71","04/21/2023"," 10:30:00 AM",0,0,0,0,0,0
"72","04/21/2023"," 10:45:00 AM",0,0,0,0,0,0
"73","04/21/2023"," 11:00:00 AM",0,0,0,0,0,0
"74","04/21/2023"," 11:15:00 AM",0,0,0,0,0,0
"75","04/21/2023"," 11:30:00 AM",0,0,0,0,0,0
"76","04/21/2023"," 11:45:00 AM",0,0,0,0,0,0
"77","04/21/2023"," 12:00:00 PM",0,0,0,0,0,0
"78","04/21/2023"," 12:15:00 PM",0,0,0,0,0,0
"79","04/21/2023"," 12:30:00 PM",0,0,0,0,0,0
"80","04/21/2023"," 12:45:00 PM",0,0,0,0,0,0
"81","04/21/2023"," 01:00:00 PM",0,0,0,0,0,0
"82","04/21/2023"," 01:15:00 PM",0,0,0,0,0,0
"83","04/21/2023"," 01:30:00 PM",0,0,0,0,0,0
"84","04/21/2023"," 01:45:00 PM",0,0,0,0,0,0
"85","04/21/2023"," 02:00:00 PM",0,0,0,0,0,0
"86","04/21/2023"," 02:15:00 PM",0,0,0,0,0,0
"87","04/21/2023"," 02:30:00 PM",0,0,0,0,0,0
"88","04/21/2023"," 02:45:00 PM",0,0,0,0,0,0
"89","04/21/2023"," 03:00:00 PM",0,0,0,0,0,0
"90","04/21/2023"," 03:15:00 PM",0,0,0,0,0,0
"91","04/21/2023"," 03:30:00 PM",0,0,0,0,0,0
"92","04/21/2023"," 03:45:00 PM",0,0,0,0,0,0
"93","04/21/2023"," 04:00:00 PM",0,0,0,0,0,0
"94","04/21/2023"," 04:15:00 PM",0,0,0,0,0,0
"95","04/21/2023"," 04:30:00 PM",0,0,0,0,0,0
"96","04/21/2023"," 04:45:00 PM",0,0,0,0,0,0
"97","04/21/2023"," 05:00:00 PM",0,0,0,0,0,0
"98","04/21/2023"," 05:15:00 PM",0,0,0,0,0,0
"99","04/21/2023"," 05:30:00 PM",0,0,0,0,0,0
"100","04/21/2023"," 05:45:00 PM",0,0,0,0,0,0
"101","04/21/2023"," 06:00:00 PM",0,0,0,0,0,0
"102","04/21/2023"," 06:15:00 PM",0,0,0,0,0,0
"103","04/21/2023"," 06:30:00 PM",0,0,0,0,0,0
"104","04/21/2023"," 06:45:00 PM",0,0,0,0,0,0
"105","04/21/2023"," 07:00:00 PM",0,0,0,0,0,0
"106","04/21/2023"," 07:15:00 PM",0,0,0,0,0,0
"107","04/21/2023"," 07:30:00 PM",0,0,0,0,0,0
"108","04/21/2023"," 07:45:00 PM",0,0,0,0,0,0
"109","04/21/2023"," 08:00:00 PM",0,0,0,0,0,0
"110","04/21/2023"," 08:15:00 PM",0,0,0,0,0,0
"111","04/21/2023"," 08:30:00 PM",0,0,0,0,0,0
"112","04/21/2023"," 08:45:00 PM",0,0,0,0,0,0
"113","04/21/2023"," 09:00:00 PM",0,0,0,0,0,0
"114","04/21/2023"," 09:15:00 PM",0,0,0,0,0,0
"115","04/21/2023"," 09:30:00 PM",0,0,0,0,0,0
"116","04/21/2023"," 09:45:00 PM",0,0,0,0,0,0
"117","04/21/2023"," 10:00:00 PM",0,0,0,0,0,0
"118","04/21/2023"," 10:15:00 PM",0,0,0,0,0,0
"119","04/21/2023"," 10:30:00 PM",0,0,0,0,0,0
"120","04/21/2023"," 10:45:00 PM",0,0,0,0,0,0
"121","04/21/2023"," 11:00:00 PM",0,0,0,0,0,0
"122","04/21/2023"," 11:15:00 PM",0,0,0,0,0,0
"123","04/21/2023"," 11:30:00 PM",0,0,0,0,0,0
"124","04/21/2023"," 11:45:00 PM",0,0,0,0,0,0
"125","04/22/2023"," 12:00:00 AM",0,0,0,0,0,0
"126","04/22/2023"," 12:15:00 AM",0,0,0,0,0,0
"127","04/22/2023"," 12:30:00 AM",0,0,0,0,0,0
"128","04/22/2023"," 12:45:00 AM",0,0,0,0,0,0
"129","04/22/2023"," 01:00:00 AM",0,0,0,0,0,0
"130","04/22/2023"," 01:15:00 AM",0,0,0,0,0,0
"131","04/22/2023"," 01:30:00 AM",0,0,0,0,0,0
"132","04/22/2023"," 01:45:00 AM",0,0,0,0,0,0
"133","04/22/2023"," 02:00:00 AM",0,0,0,0,0,0
"134","04/22/2023"," 02:15:00 AM",0,0,0,0,0,0
"135","04/22/2023"," 02:30:00 AM",0,0,0,0,0,0
"136","04/22/2023"," 02:45:00 AM",0,0,0,0,0,0
"137","04/22/2023"," 03:00:00 AM",0,0,0,0,0,0
"138","04/22/2023"," 03:15:00 AM",0,0,0,0,0,0
"139","04/22/2023"," 03:30:00 AM",0,0,0,0,0,0
"140","04/22/2023"," 03:45:00 AM",0,0,0,0,0,0
"141","04/22/2023"," 04:00:00 AM",0,0,0,0,0,0
"142","04/22/2023"," 04:15:00 AM",0,0,0,0,0,0
"143","04/22/2023"," 04:30:00 AM",0,0,0,0,0,0
"144","04/22/2023"," 04:45:00 AM",0,0,0,0,0,0
"145","04/22/2023"," 05:00:00 AM",0,0,0,0,0,0
"146","04/22/2023"," 05:15:00 AM",0,0,0,0,0,0
"147","04/22/2023"," 05:30:00 AM",0,0,0,0,0,0
"148","04/22/2023"," 05:45:00 AM",0,0,0,0,0,0
"149","04/22/2023"," 06:00:00 AM",0,0,0,0,0,0
"150","04/22/2023"," 06:15:00 AM",0,0,0,0,0,0
"151","04/22/2023"," 06:30:00 AM",0,0,0,0,0,0
"152","04/22/2023"," 06:45:00 AM",0,0,0,0,0,0
"153","04/22/2023"," 07:00:00 AM",0,0,0,0,0,0
"154","04/22/2023"," 07:15:00 AM",0,0,0,0,0,0
"155","04/22/2023"," 07:30:00 AM",0,0,0,0,0,0
"156","04/22/2023"," 07:45:00 AM",0,0,0,0,0,0
"157","04/22/2023"," 08:00:00 AM",0,0,0,0,0,0
"158","04/22/2023"," 08:15:00 AM",0,0,0,0,0,0
"159","04/22/2023"," 08:30:00 AM",0,0,0,0,0,0
"160","04/22/2023"," 08:45:00 AM",0,0,0,0,0,0
"161","04/22/2023"," 09:00:00 AM",0,0,0,0,0,0
"162","04/22/2023"," 09:15:00 AM",0,0,0,0,0,0
"163","04/22/2023"," 09:30:00 AM",0,0,0,0,0,0
"164","04/22/2023"," 09:45:00 AM",0,0,0,0,0,0
"165","04/22/2023"," 10:00:00 AM",0,0,0,0,0,0
"166","04/22/2023"," 10:15:00 AM",0,0,0,0,0,0
"167","04/22/2023"," 10:30:00 AM",0,0,0,0,0,0
"168","04/22/2023"," 10:45:00 AM",0,0,0,0,0,0
"169","04/22/2023"," 11:00:00 AM",0,0,0,0,0,0
"170","04/22/2023"," 11:15:00 AM",0,0,0,0,0,0
"171","04/22/2023"," 11:30:00 AM",0,0,0,0,0,0
"172","04/22/2023"," 11:45:00 AM",0,0,0,0,0,0
"173","04/22/2023"," 12:00:00 PM",0,0,0,0,0,0
"174","04/22/2023"," 12:15:00 PM",0,0,0,0,0,0
"175","04/22/2023"," 12:30:00 PM",0,0,0,0,0,0
"176","04/22/2023"," 12:45:00 PM",0,0,0,0,0,0
"177","04/22/2023"," 01:00:00 PM",0,0,0,0,0,0
"178","04/22/2023"," 01:15:00 PM",0,0,0,0,0,0
"179","04/22/2023"," 01:30:00 PM",0,0,0,0,0,0
"180","04/22/2023"," 01:45:00 PM",0,0,0,0,0,0
"181","04/22/2023"," 02:00:00 PM",0,0,0,0,0,0
"182","04/22/2023"," 02:15:00 PM",0,0,0,0,0,0
"183","04/22/2023"," 02:30:00 PM",0,0,0,0,0,0
"184","04/22/2023"," 02:45:00 PM",0,0,0,0,0,0
"185","04/22/2023"," 03:00:00 PM",0,0,0,0,0,0
"186","04/22/2023"," 03:15:00 PM",0,0,0,0,0,0
"187","04/22/2023"," 03:30:00 PM",0,0,0,0,0,0
"188","04/22/2023"," 03:45:00 PM",0,0,0,0,0,0
"189","04/22/2023"," 04:00:00 PM",0,0,0,0,0,0
"190","04/22/2023"," 04:15:00 PM",0,0,0,0,0,0
