    ________PROJECT_______________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Customer:		Silicon Ranch",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Stakeholder:		Silicon Ranch",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Project:			CattleTracker",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ________LICENSE_______________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non commercial use as part of CattleTracker Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ________LOCATION_______________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Location Name:		Bancroft mown",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Location Latitude:	31.4096		deg decimal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Location Longitude:	-84.8298 	    deg decimal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Location Altitude:	72 		meters",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Nominal air measurements height: 6.8  meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Nominal soil measurements depth: 0.10   meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ________PERIOD_______________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Project Period:		  2023/05/14 	to	 	2026/04/13",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Data Period:          2023/05/14 	to	 	2024/04/13",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ________DEFINITIONS_______________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Sign convention flow towards surface is positive:  NET_RADIATION   INCOMING_SHORTWAVE_RADIATION  INCOMING_LONGWAVE_RADIATION  PRECIPITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Sign convention flow away from surface is positive:  OUTGOING_SHORTWAVE_RADIATION  OUTGOING_LONGWAVE_RADIATION  SOIL_HEAT_FLUX   SENSIBLE_HEAT_FLUX  LATENT_HEAT_FLUX  EVAPOTRANSPIRATION  NET_CO2_FLUX  RESPIRATION_CO2_FLUX  PHOTOSYNTHESIS_CO2_FLUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Wind direction definition:  Specifies the direction wind is coming from.  Winds from the North winds are 0 deg and directions increase clock-wise (eg. winds from east are 90 deg). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    QC flags:  0 indicates measured data  1 indicates gap-filled,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    ________VERSION_______________________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,
